author,categoria,ciberacoso,texto,Unnamed: 4
vendotintos,2.0,1.0,"malparido don nadie y PROVINCIANO DE MIERDA, perro mugroso y piojoso",
wjoseisilva,4.0,1.0,"A la Rata de 
petrogustavo
 lo filman con bolsas de Dinero.

El Hampón de Roy Barreras 
RoyBarreras
 se le olvida Maleta llena de plata.",
SegundoLaVerdad,4.0,1.0,"Los niños de la INFAMIA NAZI, encontrar niños para dejárselos a la guerrilla fue lo peor que este régimen hizo a 10 meses de gobierno, no tiene presentación, usarlos como cortina de humo para asesinar un coronel testigo vital de investigación contra régimen es mas desgraciado.",
CamiloLoaiza10M,3.0,1.0,MORITE RIFLE ANDRADE LA RE MIL PUTA QUE TE PARIÓ.,
"Saenz1984
",2.0,1.0,"También se pego de esa perra fea , la otra bn dormida como no sintió ",
JoseLop88644190,4.0,1.0,Un asco y un total irrespeto tener un guerrillero en la presidencia.,
aatehorsoto,2.0,1.0,Tenés cara de borracho atolondrado,
JcamloGuerrero,2.0,1.0,Hablame claro pues sapa hijueputa.,
jhoniramirez,4.0,1.0,"Osea, no solo es un pobre hijo de puta y gonorrea Sino también acosador el pirobo este",
joseoscarp1,2.0,1.0,El aplauso fue por ver como te arde el asterisco bufón,
EPETEEUTA1,2.0,1.0,Este atolondrado no ha hecho sino ESTORBAR el progreso cuestionando a cada momento a muy buenos funcionarios y haciéndoles perder a ellos y al pais preciosos y necesarios días para ir a defenderse de mociones estúpidas de censura y acusaciones infundadas. Elejidos para JODER.,
HagaloConFe,3.0,1.0,CHAOOOO SAPA HPTAAAAA... MORITE CON TU MADRE HPTAAAAAA,
stik0820,4.0,1.0,Y entonces qué hacemos? Nos cagamos ? No se ridiculo ya toda la costa y Barranquilla sabe q usted es un petardo vendido igual de bandido a su presidente!,
"Elminarca
",4.0,1.0,"Petro paraco, creaste un narcoestado.",
Flaca_666,2.0,1.0,Cállese ud me cae mal,
lilipiedadvalle,2.0,1.0,El mundo patas arriba. Esta drogadicta hablando  de alcoholismo  Y la deforme  hablando  de belleza. ,
PalominoWolf,4.0,1.0,Siempre ha pasado y no por eso da menos asco. Las comunidades que viven en zona de conflicto son víctimas del estado. Primero los abandona y luego los asesina.,
"RinconDavid_
",4.0,1.0,"Que feo debe ser una rata, literal te odian por ser feo mientras a los humanos les vale verga convivir con pájaros al lado como si nada.",
aceroymurano,4.0,1.0,estoy seguro que usted está es confundido debe estar hablando de su madrecita terroristas qué son felices con el incesto y con la pedofilia.,
dpiloncita,4.0,1.0,Éste viejo pederasta cagalitroso junto con #LaBandaGuaido causó mucho daño ,
"massielll_avila
",4.0,1.0,"Abro hilo, denuncia pública para el abusador de mi ex pareja sentimental Carlos Fernando Montenegro Hernandez quien abuso de mi por meses tanto psicológica como físicamente",
Lin_Rin5,2.0,1.0,"este que me dice que el dualismo mente-cuerpo es real y que la mente puede existir por fuera del cuerpo, debe ser 1. Uribista. 2. retrasado.",
19511407,1.0,1.0,caerás más temprano que tarde porqueria,
VickyHenaoG,2.0,1.0,Yo no entiendo a este maldito enano desadaptado y su mozo Perdomo,
ValentinaJZ_,2.0,1.0,"Pedazo de mierda, no tiene otro argumento? No ve lo asqueroso de este gobierno? Arrodillado hijo de puta.",
"imagen_crystal
",4.0,1.0,"Blanca Paredes es una mujer que denunció a su ex pareja hace más de 2 años por abusar de su sobrina, sin embargo la constante lucha por hacer justicia ha sido en vano, pues las autoridades le han brindado protección al abusador",
Thewolfestepari,1.0,1.0,"hay gente tan idiota como vos, que enserio le dan ganas de cogerlos a puño.",
ucho_monteria,2.0,1.0,jajaja y te haces llamar activista político jajaj compa ni a payaso llegas. hp lameculos descerebrado,
"yuonesmardi
",4.0,1.0,“Hay gente muy rata” es lo que ha dicho,
ailatantpwk,2.0,1.0,Malparido hpta viejo asqueroso vale más un pedazo de mierda aplastado que la vida de este imbecil,
fnieva857,2.0,1.0, No sea tan triple hijuputa. La verdad uno ya se cansa de estos hptas sádicos vendidos.,
"selssal
",4.0,1.0,Tan poca empatía tiene el paraco que mandó matar a más de 10.000 personas y sigue durmiendo como si nada en su narcofinca.,
Nohelx97,3.0,1.0,"Me recuerda a un Hp que me tiraba el cuento teniendo 13-14 años. Incluso cuando lo denunciaron hace años muchas de sus amigas lo defendieron.
Ojala Te Mueras",
SonloMismoGT,4.0,1.0,Así es como actúa el acosador CristianAlvarez con sus exalumnas ,
legionbortex,3.0,1.0, lo berraco es donde uno se enamore de una persona bajo los efectos del alcohol allí sí suicidese ola,
aceroymurano,2.0,1.0,Payaso hpta el chiste se cuenta solo que cuenta más real malparido bodeguero extranjero.,
henryorozco03,2.0,1.0,Este hijueputa solo tiene TDT. Pobretona petriste!.,
"cata0816
",4.0,1.0,Hoy petrogustavo Es señalado como el peor presidente y el más corrupto de la historia de  La diferencia: Hay pruebas,
adovanegas13,3.0,1.0,Pues suicidese entonces,
vavanegas,1.0,1.0,Trapearé el piso con esta desadaptada,
catrina_nortena,4.0,1.0,"En lugar de ""dar la cara"", que mejor regrese los 5,000 Millones que se robó la RATA...",
"Chichokano
",2.0,1.0,Si a uno lo representa esa negra resentida y tan pobre intelectualmente es porque uno de verdad vale 3000 hectáreas de verga y es igual de inútil y lleno de carencias,
"Mcamilaar
",1.0,1.0,Por mi muerase sapa hijueputa.,
modios28,2.0,1.0,Habla el aparecido hijo BASTARDO de la familia santos. El estúpido menos importante por su limitación cerebral.,
draad21,4.0,1.0,Va a hacer falta mi gimnasio que me asesina en cada rutina,
mlagder,2.0,1.0,Sos asqueroso miserable desadaptado,
Jean_Orlando,2.0,1.0,Tu comentario es lo más inutil que he leído en tantos años aquí … y eso ya es mucho decir ,
juandelaborja,2.0,1.0,De 1 a 10 cuanta cara de cacorro tiene este ?,
elespadachin36,2.0,1.0,yo para que no se me dañara la comida con las sandeces de este hijueputa me tocó sentarme a la mesa con mis audífonos inalámbricos y abrir la carpeta de música de mi teléfono y subirle para que no se filtrara esa basura,
RluqueLuque,4.0,1.0,"Al perro animal, el otro es simplemente una rata asesina",
esquizo_premium,3.0,1.0,suicidate y grábalo porfis,
DavidRued26,2.0,1.0,Que gonorrea de obeso mantenido sin pelo y huele a mierda seca,
"LeoElToxico
·",1.0,1.0,Cómo putas este tierno abuelito puede ser TREMENDA GONORREA,
Garzonycollazo4,2.0,1.0,"Como te dijeron por ahí, mamon fracasado. Jajaja",
vuletichsm0,2.0,1.0,Ándate a ver beisbol mejor hijueputa me Tenes mamao,
juanchoh1985,3.0,1.0,suicidate perro hijo de puta!!!!  Igual nada se pierde.,
chimba_pa_todos,3.0,1.0,"POR QUÉ MALTRATAN LOS ANIMALES? SI TIENE TANTA IRA ARRANQUESE LOS OJOS O VAYA TIRESE DE UN PUENTE, PERO NO SE META CON LOS ANIMALES, GRAN HIJUEPUTA MISERABLE",
"FabioTheRuski
",2.0,1.0,"Cállese viejo marica, usted es un bobo triple hijueputa",
jucegar58,2.0,1.0,Que su madre haya parido una gonorrea como usted ¿otra respuesta?,
riverajavier497,2.0,1.0,Este chirrete no tiene arreglo,
Cambalachesego,2.0,1.0,Mucho malparido,
darlizacastro,2.0,1.0,Esa perra fea,
Rodolfo36281,2.0,1.0,"Hay si se multiplican las venereas como la Bruta de la Cabal, la Loca Valencia, la sin sentimientos Holguín y el analfabeta de Macias",
OtroMore_,2.0,1.0,Sapa perra esa,
MarisaZavaleta,4.0,1.0,"Hipócrita, falso , traidor, inepto ⁦
@horaciorlarreta
⁩ rata inmunda. Anda con los KK mentiroso .",
JorgeHDuran1978,2.0,1.0,Y este Idiota... No es el que se la pasa Hablando de Entrampamiento... Que baboso.,
Alejaska_,3.0,1.0,"Me hace un favor?
-Suicidese",
aldana_zandra,3.0,1.0,Péguese un tiro tome veneno córtese las venas tirese de un peñasco ahorquese puyese con una daga córtese el cuello en dos agarre un vehículo y embarranquese estréllese en moto contra un trailer en movimiento bueno hay ta un par de ideas ok,
MONIKMARIAV,2.0,1.0,"Venga idiota sin remedio y me ayuda a limpiarla porque  es lo único que le sale del cerebro, mierda mal oliente y fétida. Ya lavo los platos?",
lilooliva,2.0,1.0,POR QUÉ NO TE CALLAS MAMAHUEVO!,
trucklove4,2.0,1.0,"Daniela Franco fue la encargada de darle mala imagen a todas las danielas, perra loca no perdonaba ni los desahuciados.",
KELVINGAME3,4.0,1.0,EX GUERRILLERO REVELA SUPUESTO VINCULO DE MAMELUK0 CON LAS FARC EP 1ERA PARTE,
JosmanCChia,2.0,1.0,"Lo que está clarísimo es que eres un subnormal analfabeta que no sabe diferencias el español en tre “tonto” y “mono” 😂😂😂, que pena ajena que das ",
benitezliz00,1.0,1.0,En cualquier momento te voy a matar guerrillera hpta,
DotadoConSitio,2.0,1.0,Usted no es más down porque la cara no es más deforme.,
AbrahamEcheve19,1.0,1.0,Eso te calienta verdad que te traten como una puta pero antes de que me saques mi leche te voy a violar hasta qué e me canse y pidas a gritos mi leche,
rochizu123456,2.0,1.0,Pobre tonto!!! Atolondrado!!!,
"JuanJoseDelg_Ma
",4.0,1.0,Aparte de racista eres muy tonto!,
ELJUANDACC,2.0,1.0,niño rata gorda con problemas de vista el chiste se cuenta sólo y le va al rayados y se rie en twitter como mongólico,
Ospi___,2.0,1.0,Siete mil quinientos millones de veces hijueputa,
Borrega1961,4.0,1.0,el pedofilo Biden permite la aberración de los pervertidos maricones,
MariaVi61033398,2.0,1.0,"Este sí es mucho analfabeta! Tome haloperidol y si no tiene plata y quien se lo formule ,acuda al pegante.! Idiota!",
Liceth05545181,2.0,1.0,No falta la o el imbécil que sale con comentarios nada que ver... Vaya a qué le den !,
GaiaAzul4,2.0,1.0,MUCHA GONORREA ESTA SAPA ,
justynkocozo,2.0,1.0,tu mamá es una bochinchera,
paristizabal,4.0,1.0,Ya le pagaste a Bruno Díaz? Asesino,
"tit0thekid
",3.0,1.0,Prostituta barata tírate de un balcón,
LuujiP44,1.0,1.0," yo estoy re loca, ya tengo pensado el daño que te voy a hacer jaja",
paristizabal,2.0,1.0,Q vas a hablar analfabeta,
"tintin_tji12ytr
·",4.0,1.0,Ella fue llevo a ellos una reclamante de tierras Caucasia. Cayó jeque Paraco.,
"BruneroCruz
",3.0,1.0,a pero esta no te la perdono hija de tu madreee ! ESOOOO NO SE HACE ojala te violen,
froncallo,2.0,1.0,A usted no la quiere ni su madre guaricha,
"jcdelvallex
",4.0,1.0,"No mk, esa vaina me da es miedo, cule potencial asesina en serie",
"juanmatos
",4.0,1.0,"El 14 de Junio nos hace recordar la valentía de esos héroes que fueron abusados, torturados y asesinados por el dictador Trujillo, el tirano, abusador y criminal.  ",
"Lidiavalenmani
",4.0,1.0,EN ESTE VIDEO HABLA UN PEDOFILO ,
Vihuso,2.0,1.0,"No entiendo porque le dan importancia a una tonta de éstas, con estás publicaciones se le está dando alas.. 3s una estúpida que no sabe nada…",
Rodriaguaclara,2.0,1.0,"Oiga atorrante adolescente de 70 años, las cifras dejan su Twitt muy mal parado, cuado será que va dejar de ser un imbécil?",
CalvoNarizon,4.0,1.0,"Ese triple hp guerrillero ojibrotado malnacido, es la peor rata que tiene este mundo y sus alrededores.",
JohanaChaparr,2.0,1.0,"amiga usted no está gorda, está llena de mierda",
JuampaSantos,4.0,1.0,"Siglos después, en un giro digno de comedia, el guerrillero desquiciado Gustavo Petro sigue los pasos del demente emperador al nombrar a su amada mula, ""Imeme"", como Ministra de Minas en Colombia.",
"sebastian2215
",2.0,1.0,Siempre tienes hambre gorda sapa hijueputa,
elvis0399752775,1.0,1.0,Basura le queda poco inservible ya te va a llegar tu hora ,
elpatriarca85,4.0,1.0,Bandida como el papá.,
ferpiterr,2.0,1.0,"Un claro ejemplo de lo que es ser caquista una completa bestia asno, burro, atronado, ahuevado, enchimbao idiota útil,  vividor, mantenido, poseído, adoctrinado atolondrado",
Brykingin,2.0,1.0,Mucho imbecil,
"alexparra2013
",4.0,1.0,ajajja fueron a apoyarlo con la plata que le pago el coronel rata,
miloga27,2.0,1.0,Arrodillado hijo de puta,
angelica0809,2.0,1.0,Analfabeta los hijos de su madre.,
UnHernanMas,2.0,1.0,"Usted vaya y se toma sus pastillas para la estupidez, viejo malparido…",
"mayitopalacio
",4.0,1.0,"Eso por mi lado no sucederá jamás. Para mí, es un impostor y hampón de siete suelas. Se quiere robar todo",
pachobm,4.0,1.0,"Yo no veo amenazas, solo le dicen una verdad: y lo consideran asesino!! Ahora si le molesta al sicario de esas redes para quien todos  son ladrones, narcos y corruptos!!! Disfruto jajaja",
MaraImperio1,2.0,1.0,Tonta como siempre.  Parásito.,
Cristian_M2,4.0,1.0,Está inadaptada divinamente representa a una asesina en potencia,
p_herney,3.0,1.0,"Gordo Marik,usted no tiene derecho a opinar,nadie te quiere",
"VaneDeChar
",4.0,1.0,Nace el paramilitarismo Petrista?,
ray_valley,3.0,1.0,"Señora Lucía no se tire un tarro con agua y hielo, arrójese a un volcán. ",
"FYKO1802
",4.0,1.0,"A la marcha de paramilitar con MariaFdaCabal  y jflafaurie
 con encubrimiento de Fedegan  que desplazo y desapareció a muchos campesinos en Colombia ",
JohnFredyCanoC,2.0,1.0,"¿Por qué eliminó el trino anterior? Desinformar es lo tuyo, aborto de chucha.",
Diablorojo19966,2.0,1.0,"Bobo setenta hijueputa come mierda, arrodillado, pusilánime y faltó de huevos, me cago en vos malparido tonto.",
IraqDiscord,2.0,1.0,Esta perra no quiere pagar ni con la cuca,
"JuanBedoya1973
",4.0,1.0,Jajajajajakakak por aletoso gonorrea paraco hijueputa.,
WOLFMANRABIOSO,4.0,1.0,"Siempre maltratando a su pobre madre por ponerle la cara a las mujeres que usted robo en Ibague y despues huyo como rata a esconderse, eso si es ser muy malparido",
Gatofacho2,2.0,1.0,"Jajaja pobre imbecil, déjame adivinar, te caíste de la cuna cuando eras bebe y quedaste estupido de por vida?",
Sentido01722270,4.0,1.0,Debe estar triste la comunista María José Pizarro. Háganle llegar esto que me tiene bloqueado ! Ahí están con Monedero y el Guerrillero de Petro,
AlaraColombia,1.0,1.0,Como que no hijueputa? Hay que dar de baja a esos delincuentes que vos escondes.,
fcrespov,2.0,1.0,"Ve gonorrea, eso lo dejo tu puyón",
SantiRock28,2.0,1.0,Porque usted es un lameculos oportunista,
alex_barona0512,2.0,1.0,Deje su trauma imbécil,
UrbanoCuellar,2.0,1.0,SETENTA TRIPLE CUATRUPLE GONORREA,
orate_iracundo,1.0,1.0,En 15 días pongo en cuatro a tu madre,
1968Alzamendi,2.0,1.0,"Travestí sumerce, que pretende ser machito, pero se hace llamar aleja. Fresca aleja, salga de ese closet donde aparenta tanto uribismo.",
jcpilonieta,4.0,1.0,"Tranquilo pedófilo desadaptado, usted solo compite con Andrés Patraña en pedofilia",
PedroPa43863785,2.0,1.0,Porqué será que petro no se ha dado cuenta que es un pobre imbécil analfabeta?,
Mximo01160583,1.0,1.0,Algún día te voy a hacer tan mierda q lo mejor q podés hacer es dejar de respirar,
walterbra757,2.0,1.0,Como todo payaso 🤡 🤡 seguidor del hipnotizador de idiotas.,
"nico_jhort
",3.0,1.0,"Replying to 
padresalvajee
Ñero mejor tirese de un puente",
Lord_killero,4.0,1.0,"Vive en una mansión, con piscina y cancha de tenis,  no tiene carro pero si helicóptero , se gasta 60 millones semanales en gasolina, y se queja de la oligarquía, pero ella es oligarca. La hipocresía al fin.",
ArgiroCasta888,4.0,1.0,Lo único que se le da a un bandido…es plomo.,
"wilmanaugustod5
",4.0,1.0,"Pa"" fuera pa"" la calle, este es el matarife, paraco y genocida que puede hacer lo que quiera",
"sornerohpta
",2.0,1.0,burra la gran puta de tu madre,
YhonatanGonzal6,1.0,1.0,"Ya te mostré mi lado lindo, ahora ve preparando un psicólogo por que te voy a hacer daño",
JUANG_SEPULVEDA,2.0,1.0,"Yo con la foto de perfil al lado de un cacorro lame culos como ese hpta del Bolivar, mejor me quedo quieto y no me pongo a tratar de ridiculizar a los demás. O es que se siente muy orgullosa al lado de esa gonorrea.",
NardaAlvarez10,4.0,1.0,"Se busca a éste Ladrón y a estas asesinas.
Que pertenecen a la organización CRIMINAL afines a la Gobernación",
richardblissr,2.0,1.0,Debe producirle una inmensa felicidad ENTREGARLE el país a éstos MISERABLES HP !! HISTÓRICO!! Usted es TONTA...o se hace ??,
JoeyCajiao,3.0,1.0,Morite gonorrea malparido cagón hijo de puta.,
MariaWind3,2.0,1.0,Es una analfabeta funcional con ínfulas de gran estrella de la comunicación. No tiene decencia ninguna ni moralidad,
"WadaMilan
",2.0,1.0,Váyase a la gran puta mierda bobo hp,
yosoymioo,2.0,1.0,"le estás pidiendo mucho a esta burra, a duras penas aprendió a leer.",
RoronoaZoro2013,2.0,1.0,"A este 🐷 ceboso el papá lo violaba de niño, uhhh si no hay otra razón para tanta estupidez que escribe el manteco asqueroso",
jhonjairom702,2.0,1.0,Que les asombra de este PAYASO?,
damiantac2,2.0,1.0,Hay que ser muy imbécil y adoctrinado,
"camillebuelvas
",4.0,1.0,"Mi jefe homofobico, misógino, machista, Hpta, mal padre, mal jefe, infiel, descuidado: “Dios si me ama”.",
Vargasmia1,2.0,1.0,"Idiota, ¿tiene un escanear en el cerebro o qué, hpta.? Se le acabó la batería atembao.",
RICARDO61184319,2.0,1.0,Mongolico quédese jalando el ganzo que usted es un baboso,
BrandonTapiaBv,1.0,1.0,TE VOY A ENCONTRAR Y TE VOY A MATAR BASURA!,
LuisPeriodistaP,2.0,1.0,Coma mierda idiota,
edgar19briceno,2.0,1.0,"En ud nadie confía , vieja bruja!!!",
"Rasputin_6402
",4.0,1.0,"Cla Gnecco,la Casa de la periodista Vicky Dávila. Todo un Clan Genocida,Narco Paramilitar. Que el Fiscal General Francisco Barbosa,no quiere investigar. Por eso afilan garras y atacar al presidente y su gobierno. Todo un Complot criminal de Dávila y Barbosa",
"vitoafonsopulga
",4.0,1.0,Osea hermano que necesidad de decir estás estupideces ... Quédese callado misógino hp !!,
janloz70,2.0,1.0,Eso es poco y más una escoria andante como este,
"adelina_covo
",4.0,1.0,"Dicen que cada pueblo elige el gobernante que merece, pero daulaw,  se pasa de calidad.
Tal vez sea el karma acumulado del profundo dolor de tantos africanos maltratados por la esclavitud en Cartagena, el mayor puerto negrero de América
Lo estamos pagando caro",
"holafo_veloza
",4.0,1.0,la rata que dirige al nuevo centro democrático vestidos de verde,
alva_jeronimo,2.0,1.0,Esperemos a ver mamaburra analfabeta que podrá saber un actor de quinta que no fue capaz de tener una empresa sólida vivía de las mentiras de la televisión bandido fascineroso apátrida,
camilo2240,2.0,1.0,"Que hpta vieja tan bruta, y abogada?, que miedoooo. Esta petrista si es la campeona, jajajaa. Mucha imbecil",
@july_milena,3.0,1.0,"Y si Ud es de los que piden a gritos que le salven el perrito y al final no aparecen para pagar la cuenta. 
Comase un cerro de 💩 y muerase.",
Fckblck8,1.0,1.0,"Cuando digo que te voy a violar con odio no lo digo en broma, puta. ",
tariavam,3.0,1.0,"Ojalá te mueras hijo de puta, cualquier perro puede tener un reflejo de morder a otro porque son putos animales, y si no entiendes eso y no lo puedes controlar ojalá que te maten a ti. Ojalá te quiten a tu perro por posible maltratador, grandísimo imbecil.",
monomonge1,4.0,1.0,Este petardo tiene un pie en cárcel por ser el mensajero de mafiosos,
enlabodega,3.0,1.0,"Replying to Fernand90142047 richizuluaga
 and 15 others
No. La física no tiene ideología. Tírese de un puente y me dice si la gravedad funciona",
_miluu32,1.0,1.0,vas a volver y te voy a matar hijo de puta,
reinal2011,2.0,1.0,Si lo dice esta aguevada así debe ser si quiere ser profesor solo tiene que saber que bogota es la capital de Colombia y muchas ganas y listo por eso estamos jodidos cualquier mamarracho cree que sabe más que el que ha estudiado juiciosamente petroburraaa,
carloswlizarazo,4.0,1.0,"
Esos escándalos sin fundamento de los medios prepagos no impide el nombramiento de un fiscal que destape toda las otrosidades de esa plaga corrupta asesina de extrema derecha",
castrogoj,1.0,1.0,"Éste pobre mamarracho,también tendrá q tragarse lo q dice.",
alhejo83,2.0,1.0,"Si claro, el escándalo sigue, bochinchera",
paristizabal,2.0,1.0,! Inepto analfabeta y bruto!,
marlonriascos11,2.0,1.0,jaja el propio estupido,
Irinamar004,1.0,1.0,A vos te va llegar tu hora primero perro victimista.,
Gongora65Jorge,4.0,1.0,"Lo único claro es que Benedetti tiene el sartén por el mango, es una rata, pero inteligente si es.",
DotadoConSitio,2.0,1.0,"Hola burra, ¿me puede explicar entonces qué quiso decir aquí? Quedo atento.",
lamissmoney,4.0,1.0,Cuando va a aceptar la gente que Tom Hanks es un pedofilo? Sigue haciendo películas para niños este depredador,
HaaLuz,2.0,1.0,Cada día das mas lastima bruja,
PETRIIISTAAAAS,4.0,1.0,"Lo peligroso es que la hija de un guerrillero que perseguía a ciudadanos y magistrados  para extorsionarlos, amenazarlos, incendiarlos, secuestrarlos, asesinarlos,  quemarlos, por “fines políticos” quiera realizar un “revisionismo” de la historia de sangre, destrucción y muerte  que lleva su padre hablando de Hitler, lo cierto es que su papá no es muy diferente a Hitler, dos hombres enfermos mentales a los que no les intereso tomar las armas y usarlas contra todo aquel que no pensara como ellos.",
Jeniatica,2.0,1.0,nunca falta un atolondrado que no entiende,
agudelojuanjo97,2.0,1.0,"Lo que sos, es un ridículo, un malparido y no servís para nada. JAJAJAJA",
_sa_dg,3.0,1.0,SUICIDESE MARICA,
PerroRabi0so,2.0,1.0,"Si bien hay mucho odio en esta red, también hay gente muy boba hijueputa que se merece los madrazos a pulmón, que gonorrea tan idiota a lo bien.",
Uberrimofobico,2.0,1.0,"Mas hpta es Ud, pinche perdedor.",
will_grisales,2.0,1.0,"Viejo hdptaa eso ya no es un ser humano, eso no merece llamarse humano, es una puta escoria de mierda, que el karma, el universo la vida la naturaleza se encarguen de ese hpta.",
Mrs__Depp,3.0,1.0,Le tengo la solución... Suicidese!!!,
Alfonso19742009,2.0,1.0,"al menos abrí el link de la noticia y leé, bobo hp, analfabeta 😡",
garavitoarana76,2.0,1.0,Ya estoy mamado de tus estupideces mamarracho inutil,
"erickms1927
",4.0,1.0,"Ah pero como sale a defender a ese suplantador de funciones policiales. Sin armas no son nada, cagones.",
43hugote,2.0,1.0, esta pobre filosofa analfabeta esta completamente perdida. no sabe donde esta parada,
Josemar66334695,3.0,1.0,Malparida aborto de mico Ojalá te maten por habladora de MIERDA,
h_wilian,2.0,1.0,Nojoda Junior mas marica tu que le paras bolas a este petardo.,
Carlosradical90,1.0,1.0,Te voy a buscar,
TysonUribeVelez,4.0,1.0,Un criminal en el poder queriendo descriminalizar el crimen,
LaOficinaUdeA,1.0,1.0,"Como buen idiota sin neuronas que utilizar, para creer en la palabra dicha de un guerrillero. Ratas como vos pronto elegirán entre una prisión o un cementerio",
"Epapino_020994
",4.0,1.0,"Amigo diga las cosas por su nombre.
Esa rata de abogducho de Miguel Angel Del Río y Gustavo Petro tienen mucho que ver con el asecinato del coronel Davila.",
DP99__,2.0,1.0,"Malparido hijo de puta, cuando te largás",
alejandro_ardia,2.0,1.0,Quemen a ese mongólico.,
PedromejiaMeji4,4.0,1.0,El tinterillo tiene entre la espada y la pared al genocida paramilitar más grande de colombia esta asustado,
42hugote,2.0,1.0,que vergüenza vos un inepto analfabeta ,
Eduardo61374617,2.0,1.0,"Ese SANCHEZ Cristo es lo mas asqueroso q hay en el periodismo Colombiano, claro q hay muchos más vendidos, abortos de la naturaleza",
juanikv343,1.0,1.0,Te voy a violar pendejo de mierda,
GoezTeresita,4.0,1.0,A La bandida de la Cabal solo le creen sus BABOSADAS los borregos del NarcoParaUribismo.,
natgutie051,4.0,1.0,nunca juegues con una bandida retirada que se está portando bien 🙇🏻‍♀️,
G_Leon6,2.0,1.0,Dejar de decir payasadas lameculos,
lupamic71,2.0,1.0,Sos un hpta desadaptado social,
JeanCarlos_019,1.0,1.0,"siga así mijo, siga así, el que busca encuentra, te vas hacer pegar una golpiza",
aideluz93,4.0,1.0,"El guerrillero creé que está en campaña, dizque incitando a marchas",
"dona_pily2
",4.0,1.0,¿Por qué Twitter no le cierra la cuenta a ese terrorista?,
scarlet920801,3.0,1.0,Que pesaaaaar suicidate  mejor ,
Asalazar_gt,4.0,1.0,"He visto que lo mencionan a él, Dieter Sarg, es un acosador, no se dejen llevar por el físico cuando el cerebro está quemado.",
dannamejiac,2.0,1.0,"usted tan perra y tan sufrida, no bb",
Colombiansima2,2.0,1.0,"Presidente?, que yo sepa el Presidente es Gustavo Petro Urrego. Lambona, lameculos, chupamedias, lustrabotas. A esta burra lo único que le falta es rebuznar y caminar en cuatro patas.",
fcrespov,2.0,1.0,"Un gonorrea sifilitico opinando, que tal?",
moragooood,3.0,1.0,cortate las venas gordo down,
igualyasabia,3.0,1.0,Morite brandon hijueputa,
anao0502,2.0,1.0,Ni se quien es esta tonta y tambien me tiene bloqueda Que dolor,
MethaKnightho,2.0,1.0,"Lo que tu eres, es un fanboy otaku mugroso.",
andres96_carlos,2.0,1.0,En fin... UN RETRASADO MÁS.,
"RCamiloDiaz
",4.0,1.0,"
Habla el tipo cuyo partido asesina jóvenes por deporte. ",
"JSanzOakley
",1.0,1.0,"Salieron los pobretones petristas esos mismos gusanos RASTREROs que no tienen nada que son vagos hasta de cerebro que apoyan todo lo que es RESENTIMIENTO SOCIAL y odio,que defienden la marihuana la corrupción y el aborto, que defienden a quien roba y asesina.",
LeoCollante,3.0,1.0,Y esta sí era roja. Ojalá te mueras árbitro hijo de puta.,
mauroocampoc,2.0,1.0,"Y lo de no binario amigo zurdo malparido es que gracias a tu presidente me podré pensionar más joven, pero veo que sos solo petrista de twitter y ni sabes de qué te hablo!!!",
jsolis15,2.0,1.0,Imbecil asqueroso,
AbogRamirez7,4.0,1.0,"Sí, es la nuera de un paraco.",
ivancardonaf,2.0,1.0,Rebuznó un pobre lameculos,
motions1cknes,1.0,1.0,desubicada hija de puta ya te voy a encontrar me cagaste la vida,
caliconosetoca,2.0,1.0,"Malparido bobo, se nota que sos bien acosador",
tigre903,4.0,1.0,"A este Hilo le faltan como 100 capítulos de cosas perversas pero es un pequeño resumen del asqueroso,corrupto,delincuencial y podrido gobierno de Petrosky,",
TiendaTobias,2.0,1.0,"Malparido bocón ambicioso, borracho de mierda, la esperanza de la gente pobre de este país en peligro porque el HP se emborracho y le dio una pataleta",
Lolapri1,4.0,1.0,"MILITANTE DE  EXTREMA IZQUIERDA DE LA ORGANIZACIÓN CRIMINAL ""PODEMOS"" SUFRE EN PROPIA PERSONA LO QUE HA ESTADO APOYANDO POR FALTA DE NEURONAS Y ESTUPIDEZ EXTREMA. ",
EnanoHpta,1.0,1.0,"Sin palabras que voy, busco a ese anciano y lo rompo.",
raulin00002,2.0,1.0,Un día de estos este chirrete con suerte se le desbloquea el cerebro de tanto pagante que le metio,
"ArnobiaH
",2.0,1.0,Vieja lesbiana y menopausica dejé de hablar basura,
lbertoortiz,4.0,1.0,Para cuando los allanamientos del Fiscal General de la Nación a las personas que mencione este criminal de lesa humanidad? ESTO ES LO QUE QUIEREN TAPAR.,
44hugote,4.0,1.0,completamente analfabeta y resulto multimillonaria de la noche a la mañana,
davidfelipe3105,3.0,1.0,Ombe si tanta mierda habla del sector salud quédese en su HPTA casa y muerase en su casa y no joda a los que tanta mierda les echa  . Fin 😡,
doryss1a,2.0,1.0,"Otra vez tenemos que aguantar los comentarios de odio y veneno de la iletrado y analfabeta, obesa, vulgar, ordinaria ",
"rcastano12
",4.0,1.0,"PATETICO, UN PEDOFILO DEFENEDIENDO UN TERRORISTA!",
jorgeluism1971,2.0,1.0,Éste hijueputa salió peor que los ñeros rateros,
Diablorojo19966,2.0,1.0,"Vos sos un catrehijueputa miserable, si es por karma vos no estarías en este mundo desde hace rato malparido come mierda, me cago en la gente como vos.",
caam_sr,1.0,1.0,"te voy a hacer daño, te vas acordar",
